X,Y,gid,provincia,distrito,region_nat,categoria,codigo,ubigeo,departamen,descripcio,poblacion,origen,idccpp_07,nombccpp07,tipo_ccpp,fpol_ccpp,nom_surb,nom_ssurb,cat_ccpp,tot_viv17,label_ccpp,icon_url
-72.1162110180078,-13.3055535529994,"1",URUBAMBA,URUBAMBA,QUECHUA,CIUDAD,"0813010001","081301",CUSCO,URUBAMBA,13942,cpv2017_v1,,,,,,,,0,,./0.png
-72.1308699820077,-13.2248299809994,"2",URUBAMBA,URUBAMBA,PUNA O JALCA,CASERIO,"0813010003","081301",CUSCO,CUNCANI,174,cpv2017_v1,,,,,,,,0,,./0.png
-72.1730299820069,-13.2264399809994,"3",URUBAMBA,URUBAMBA,PUNA O JALCA,CASERIO,"0813010004","081301",CUSCO,CHUPANI,177,cpv2017_v1,,,,,,,,0,,./0.png
-72.163769982007,-13.2427399809994,"4",URUBAMBA,URUBAMBA,SUNI,CASERIO,"0813010005","081301",CUSCO,HUACAHUASI,482,cpv2017_v1,,,,,,,,0,,./0.png
-72.113809981008,-13.2451799809994,"5",URUBAMBA,URUBAMBA,SUNI,OTROS,"0813010006","081301",CUSCO,SUTOC PACHA,22,cpv2017_v1,,,,,,,,0,,./0.png
-72.2060866670063,-13.2484616669995,"6",URUBAMBA,URUBAMBA,SUNI,OTROS,"0813010007","081301",CUSCO,PATAQUISCAYOC,21,cpv2017_v1,,,,,,,,0,,./0.png
-72.1883433330066,-13.2688166669995,"7",URUBAMBA,URUBAMBA,QUECHUA,CASERIO,"0813010008","081301",CUSCO,CHAQUIHUAYCCO,95,cpv2017_v1,,,,,,,,0,,./0.png
-72.1742000000068,-13.2579366669995,"8",URUBAMBA,URUBAMBA,QUECHUA,CASERIO,"0813010009","081301",CUSCO,PUCARA,151,cpv2017_v1,,,,,,,,0,,./0.png
-72.1267766670076,-13.2800183329994,"9",URUBAMBA,URUBAMBA,QUECHUA,CASERIO,"0813010010","081301",CUSCO,PUMAHUANCA,18,cpv2017_v1,,,,,,,,0,,./0.png
-72.1861600000066,-13.2763349999995,"10",URUBAMBA,URUBAMBA,QUECHUA,CASERIO,"0813010012","081301",CUSCO,RINCONADA,943,cpv2017_v1,,,,,,,,0,,./0.png
-72.1703666660069,-13.2766149999994,"11",URUBAMBA,URUBAMBA,QUECHUA,CASERIO,"0813010013","081301",CUSCO,MIKAY,654,cpv2017_v1,,,,,,,,0,,./0.png
-72.1062316670081,-13.2823816659993,"12",URUBAMBA,URUBAMBA,QUECHUA,CASERIO,"0813010015","081301",CUSCO,SAN ISIDRO DE CHICON,584,cpv2017_v1,,,,,,,,0,,./0.png
-72.2111583330062,-13.2762533329995,"13",URUBAMBA,URUBAMBA,QUECHUA,OTROS,"0813010017","081301",CUSCO,TARAL,2,cpv2017_v1,,,,,,,,0,,./0.png
-72.1575633330071,-13.2824933329994,"14",URUBAMBA,URUBAMBA,QUECHUA,UNIDAD AGROPECUARIA,"0813010019","081301",CUSCO,MEDIA LUNA CHICO,45,cpv2017_v1,,,,,,,,0,,./0.png
